DateStart;DateTimeStart;SUM_of_IsDP
01JUN2026;01JUN2026:05:15:06.029000;1
01JUN2026;01JUN2026:05:16:56.098000;1
01JUN2026;01JUN2026:05:23:00.865000;1
01JUN2026;01JUN2026:05:23:38.440000;1
01JUN2026;01JUN2026:05:24:31.267000;1
01JUN2026;01JUN2026:05:30:37.067000;1
01JUN2026;01JUN2026:05:35:52.274000;1
01JUN2026;01JUN2026:05:44:15.097000;1
01JUN2026;01JUN2026:05:57:12.525000;1
01JUN2026;01JUN2026:05:57:24.403000;1
01JUN2026;01JUN2026:05:58:28.468000;1
01JUN2026;01JUN2026:06:00:21.325000;1
01JUN2026;01JUN2026:06:01:12.643000;1
01JUN2026;01JUN2026:06:04:50.474000;1
01JUN2026;01JUN2026:06:05:09.863000;1
01JUN2026;01JUN2026:06:06:47.116000;1
01JUN2026;01JUN2026:06:07:30.627000;1
01JUN2026;01JUN2026:06:08:45.913000;1
01JUN2026;01JUN2026:06:09:08.042000;1
01JUN2026;01JUN2026:06:10:20.376000;1
01JUN2026;01JUN2026:06:18:42.348000;1
01JUN2026;01JUN2026:06:24:24.602000;1
01JUN2026;01JUN2026:06:24:36.833000;1
01JUN2026;01JUN2026:06:24:39.109000;1
01JUN2026;01JUN2026:06:25:00.103000;1
01JUN2026;01JUN2026:06:25:38.834000;1
01JUN2026;01JUN2026:06:26:13.182000;1
01JUN2026;01JUN2026:06:26:49.121000;1
01JUN2026;01JUN2026:06:31:19.357000;1
01JUN2026;01JUN2026:06:32:06.140000;1
01JUN2026;01JUN2026:06:34:16.549000;1
01JUN2026;01JUN2026:06:34:17.001000;1
01JUN2026;01JUN2026:06:34:45.105000;1
01JUN2026;01JUN2026:06:34:56.818000;1
01JUN2026;01JUN2026:06:36:15.261000;1
01JUN2026;01JUN2026:06:38:09.762000;1
01JUN2026;01JUN2026:06:39:59.715000;1
01JUN2026;01JUN2026:06:41:14.992000;1
01JUN2026;01JUN2026:06:41:32.136000;1
01JUN2026;01JUN2026:06:41:34.073000;1
01JUN2026;01JUN2026:06:43:28.041000;1
01JUN2026;01JUN2026:06:43:55.999000;1
01JUN2026;01JUN2026:06:45:23.881000;1
01JUN2026;01JUN2026:06:47:52.061000;1
01JUN2026;01JUN2026:06:50:12.692000;1
01JUN2026;01JUN2026:06:54:44.290000;1
01JUN2026;01JUN2026:06:54:55.348000;1
01JUN2026;01JUN2026:06:56:00.400000;1
01JUN2026;01JUN2026:06:56:13.291000;1
01JUN2026;01JUN2026:06:56:37.214000;1
01JUN2026;01JUN2026:06:57:20.320000;1
01JUN2026;01JUN2026:06:57:29.466000;1
01JUN2026;01JUN2026:06:57:36.331000;1
01JUN2026;01JUN2026:06:58:14.569000;1
01JUN2026;01JUN2026:07:01:43.786000;1
01JUN2026;01JUN2026:07:05:37.472000;1
01JUN2026;01JUN2026:07:06:11.918000;1
01JUN2026;01JUN2026:07:07:20.368000;1
01JUN2026;01JUN2026:07:09:48.773000;1
01JUN2026;01JUN2026:07:11:32.413000;1
01JUN2026;01JUN2026:07:13:07.554000;1
01JUN2026;01JUN2026:07:14:49.359000;1
01JUN2026;01JUN2026:07:14:55.120000;1
01JUN2026;01JUN2026:07:16:32.058000;1
01JUN2026;01JUN2026:07:17:23.877000;1
01JUN2026;01JUN2026:07:17:44.544000;1
01JUN2026;01JUN2026:07:19:33.393000;1
01JUN2026;01JUN2026:07:20:11.308000;1
01JUN2026;01JUN2026:07:22:46.341000;1
01JUN2026;01JUN2026:07:23:42.385000;1
01JUN2026;01JUN2026:07:23:42.952000;1
01JUN2026;01JUN2026:07:24:10.325000;1
01JUN2026;01JUN2026:07:24:54.875000;1
01JUN2026;01JUN2026:07:26:01.064000;1
01JUN2026;01JUN2026:07:27:01.198000;1
01JUN2026;01JUN2026:07:27:02.044000;1
01JUN2026;01JUN2026:07:27:58.475000;1
01JUN2026;01JUN2026:07:28:03.072000;1
01JUN2026;01JUN2026:07:29:20.588000;1
